candidate,perf_status,quality_status,quality_policy,promotable,case,width,height,avg_wall_ms,baseline_avg_wall_ms,wall_delta_pct,speedup,avg_pass_count,baseline_avg_pass_count,pass_count_delta,threadgroup,diffusion_group_size,scanner_image_storage,blur_backend,blur_downsample,intermediate_precision,diffusion_cluster_sigma,halation_grouped_tail,scanner_mps,grain_blur_recurrence,dir_tail_backend,source_format,destination_format,host_layout
strict-dg2-recurrence,OK,PASSED,exact,1,production-grain-no-sublayers,3840,2160,102.132,105.885,-3.5444113897152576,1.036746563271061,9.0,9.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,production-grain-no-blur,3840,2160,80.433,80.605,-0.21338626636064392,1.002138425770517,7.0,7.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,auto-exposure,3840,2160,33.007,33.098,-0.27494108405342044,1.0027569909413154,4.0,4.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,halation-only,3840,2160,126.568,130.745,-3.194768442387859,1.0330020226281524,21.0,21.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,halation-boost,3840,2160,132.241,132.673,-0.32561259638358064,1.003266762955513,24.0,24.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,camera-diffusion-only,3840,2160,1943.055,2097.005,-7.34142264801467,1.0792309018530097,34.0,60.0,-26.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,print-diffusion-only,3840,2160,1943.687,2098.424,-7.373962554755383,1.0796100400939042,35.0,61.0,-26.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,dir-only,3840,2160,268.926,268.962,-0.013384790416490568,1.0001338658218246,8.0,8.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,scanner-only,3840,2160,25.03,26.876,-6.868581634171751,1.0737514982021574,9.0,9.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,scanner-glare,3840,2160,39.497,40.574,-2.654409227584163,1.0272678937640833,9.0,9.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,all-effects,3840,2160,2343.758,2512.988,-6.734214409300801,1.0722045535417906,57.0,83.0,-26.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,default-final,1920,1080,15.395,15.433,-0.24622562042376892,1.0024683338746347,5.0,5.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,production-grain,1920,1080,45.992,46.242,-0.5406340556204317,1.0054357279526873,11.0,11.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,enlarged-production-grain,1920,1080,46.839,48.103,-2.6276947383739118,1.0269860586263584,12.0,12.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,production-grain-no-sublayers,1920,1080,26.203,26.542,-1.2772210082134057,1.0129374499103156,9.0,9.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,production-grain-no-blur,1920,1080,20.693,20.834,-0.6767783430930127,1.0068138984197554,7.0,7.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,1,auto-exposure,1920,1080,9.098,9.039,0.6527270715787261,0.9935150582545613,4.0,4.0,0.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
